date,gold_usd,gold_jpy,audjpy,zarjpy,cadjpy,chfjpy,audusd,zarusd,cadusd,chfusd,jpy_per_usd,vix,usd_broad,eur_per_usd,gbp_per_usd,aud_per_usd,zar_per_usd,cad_per_usd,chf_per_usd
2011-12-06,1708.0,132762.84,79.49478420944979,9.682964808470881,76.83867141162514,83.87827775979282,1.022704029453876,0.12457178449081284,0.9885330170027679,1.079097874177188,77.73,28.13,91.2817,0.7464,0.6418,0.9778,8.0275,1.0116,0.9267
2011-12-07,1735.5,134830.995,79.77205051853373,9.680996884735201,76.87512368889769,83.98011025835045,1.0267994660642776,0.12461059190031153,0.9895111814763508,1.0809642200843153,77.69,28.67,91.2331,0.747,0.6373,0.9739,8.025,1.0106,0.9251
2011-12-08,1715.0,133204.05000000002,79.12591687041565,9.397459165154265,76.22178606476939,83.74123989218329,1.0187449062754685,0.12099213551119177,0.9813542688910698,1.0781671159029649,77.67,30.59,91.668,0.7505,0.6396,0.9816,8.265,1.019,0.9275
2011-12-09,1709.0,132584.22,79.05033625433055,9.551246537396121,76.04391295824348,83.93378773125609,1.0189525168127165,0.12311480455524776,0.9801999607920016,1.0818998160770312,77.58,26.38,91.6122,0.7481,0.6393,0.9814,8.1225,1.0202,0.9243
2011-12-12,1659.5,129225.26500000001,78.33215974248064,9.407884403957908,75.80064246081962,83.19444444444444,1.0059350165979277,0.120815261383818,0.9734254842791783,1.0683760683760684,77.87,25.67,92.3375,0.7583,0.6411,0.9941,8.2771,1.0273,0.936
2011-12-13,1672.5,130220.85,78.61470113085622,9.396572531981656,75.71720315083147,82.67148014440433,1.0096930533117934,0.12068549360366884,0.9724788485850433,1.0617965597791463,77.86,25.41,92.5456,0.7637,0.644,0.9904,8.286,1.0283,0.9418
2011-12-14,1603.0,125162.23999999999,77.3298999702882,9.267655786350147,75.05527251754302,81.93074501573977,0.9903931860948796,0.11869436201780414,0.9612611746611555,1.0493179433368311,78.08,26.04,93.2176,0.7709,0.6475,1.0097,8.425,1.0403,0.953
2011-12-15,1574.0,122567.38,77.37480127186011,9.292251882435771,75.3240472044883,82.822803658796,0.9936406995230525,0.11933031825395878,0.967305088024763,1.0636034886194425,77.87,25.11,92.8858,0.7685,0.6457,1.0064,8.3801,1.0338,0.9402
2011-12-16,1594.0,123774.1,77.35604702131899,9.288388617088723,74.74971120523682,82.8531796841656,0.9962143853357243,0.11961865572554696,0.9626492106276473,1.0670081092616304,77.65,24.29,92.8252,0.7678,0.6446,1.0038,8.3599,1.0388,0.9372
2011-12-19,1598.0,124580.07999999999,77.29526075748562,9.29578136551165,75.22192203782323,83.25501922255445,0.99147332936744,0.11923783177926693,0.9648784253184098,1.0679196924391285,77.96,24.92,92.8685,0.7682,0.6439,1.0086,8.3866,1.0364,0.9364
2011-12-20,1613.5,125465.76000000001,78.30027187594402,9.458588266776953,75.61260210035006,83.53206574282953,1.006947940791461,0.12163822359538262,0.9723842862699339,1.074229240519927,77.76,23.22,92.432,0.7648,0.638,0.9931,8.2211,1.0284,0.9309
2011-12-21,1608.0,125424.0,78.54984894259819,9.4340763676387,75.8312269103636,83.17338451695458,1.0070493454179255,0.12094969702100898,0.9721952167995334,1.0663254425250588,78.0,21.43,92.5262,0.7669,0.6378,0.993,8.2679,1.0286,0.9378
2011-12-22,1606.5,125515.84499999999,79.22328128168728,9.557186544342507,76.50053852932535,83.40093936806149,1.013993104846887,0.12232415902140671,0.9791442279447762,1.067463706233988,78.13,21.16,92.3883,0.7666,0.6383,0.9862,8.175,1.0213,0.9368
2011-12-28,1571.0,122506.58,78.69613482692502,9.519624000488312,76.21188428459733,82.69353128313892,1.0091835704914724,0.12207776353537204,0.977326035965598,1.0604453870625663,77.98,23.52,92.8374,0.7736,0.6461,0.9909,8.1915,1.0232,0.943
2011-12-29,1531.0,118974.01,78.74949331171463,9.497097464100214,76.12656739811912,82.564810879728,1.0133765707336846,0.12221203788573176,0.9796238244514107,1.062473438164046,77.71,22.65,92.7398,0.7721,0.6499,0.9868,8.1825,1.0208,0.9412
2012-01-03,1598.0,122518.66,79.58272783890388,9.553894080996885,75.993656457528,82.2727760489323,1.0379904504878554,0.12461059190031153,0.9911785112498762,1.0730765103551885,76.67,22.97,91.7551,0.7656,0.6388,0.9634,8.025,1.0089,0.9319
2012-01-04,1613.0,123684.84000000001,79.34602649006622,9.417139488615431,75.66607460035524,81.42720611659765,1.0347682119205297,0.12281089578267385,0.9867771857114662,1.0619093129446746,76.68,22.22,92.0345,0.7734,0.6395,0.9664,8.1426,1.0134,0.9417
2012-01-05,1599.0,123410.82,79.13462524351483,9.44502233372086,75.68892811611258,81.00335852225022,1.0253255408592228,0.12237655265251178,0.9806805923310777,1.0495382031905962,77.18,21.48,92.5773,0.7823,0.646,0.9753,8.1715,1.0197,0.9528
2012-01-06,1616.5,124567.49,78.87410440122825,9.461019030079804,75.32010556152869,80.64887493458922,1.0235414534288638,0.12277470841006753,0.977421561919656,1.0465724751439036,77.06,20.63,92.7183,0.786,0.648,0.977,8.145,1.0231,0.9555
2012-01-09,1615.0,124161.2,78.5291113381001,9.401176369883952,74.84423676012462,80.75630252100841,1.0214504596527068,0.12228377172065495,0.9735202492211839,1.050420168067227,76.88,21.07,92.7418,0.7846,0.6478,0.979,8.1777,1.0272,0.952
2012-01-10,1637.0,125787.08,79.3228037576133,9.473671232538928,75.62247810254897,81.00358422939068,1.0323113451016828,0.12329088017359355,0.9841551028442083,1.0541851149061776,76.84,20.69,92.2461,0.7824,0.6456,0.9687,8.1109,1.0161,0.9486
2012-01-11,1634.5,125693.05,79.17224338515392,9.487736268074817,75.4513343799058,80.48984718442537,1.0295480284155256,0.12337758476040073,0.9811616954474096,1.0466820180029306,76.9,21.05,92.554,0.7883,0.6525,0.9713,8.1052,1.0192,0.9554
2012-01-12,1661.0,127498.36000000002,79.15034027634564,9.529484792054625,75.27704226733353,81.27911901736553,1.031140441328109,0.12414649286157667,0.9806805923310777,1.058873358746294,76.76,20.47,92.2274,0.7802,0.6525,0.9698,8.055,1.0197,0.9444
2012-01-13,1635.5,125769.95000000001,79.14779744750926,9.447986927622768,75.05367948467696,80.65869519614013,1.029230135858378,0.12286068826557565,0.9759906304899474,1.0488777008600796,76.9,20.91,92.5385,0.7885,0.6536,0.9716,8.1393,1.0246,0.9534
2012-01-17,1656.0,127180.79999999999,79.83367983367984,9.569735710814548,75.81441263573545,80.91024020227559,1.0395010395010396,0.12460593373456444,0.987166831194472,1.0535187526337968,76.8,22.2,92.0142,0.7849,0.6512,0.962,8.0253,1.013,0.9492
2012-01-18,1647.0,126506.07,79.84407484407485,9.609418005304509,75.76445058196883,81.47873130370213,1.0395010395010396,0.12510634038933094,0.9863878477017163,1.0607828577490188,76.81,20.89,91.6943,0.7797,0.6489,0.962,7.9932,1.0138,0.9427
2012-01-19,1655.0,127815.65000000001,80.44791666666667,9.775949367088607,76.51079849415494,82.73165506159614,1.0416666666666667,0.12658227848101264,0.9906875371507826,1.0712372790573113,77.23,19.87,91.3316,0.773,0.6458,0.96,7.9,1.0094,0.9335
2012-01-20,1653.0,127231.41,80.59685863874346,9.697618747637646,75.89232892920529,82.52385547335692,1.0471204188481675,0.12599218848431396,0.9859988168014199,1.0721561059290232,76.97,18.28,91.3661,0.7723,0.6435,0.955,7.937,1.0142,0.9327
2012-01-23,1675.5,128879.46,81.0281259875698,9.698039462901091,76.31709494989582,82.99525248165732,1.0534077741493733,0.12607955619996217,0.9921619208254787,1.0789814415192058,76.92,18.67,90.986,0.7672,0.6418,0.9493,7.9315,1.0079,0.9268
2012-01-24,1665.5,129542.59,81.43649879593761,9.783524735537918,77.04041204437401,83.72443487621098,1.0470107842110774,0.12578458132602105,0.9904912836767036,1.0764262648008611,77.78,18.91,91.181,0.769,0.6412,0.9551,7.9501,1.0096,0.929
2012-01-25,1650.0,128914.49999999999,81.8886909129022,9.7273406374502,77.21118687617353,83.9205155746509,1.0481081647626036,0.12450199203187251,0.9882399446585631,1.0741138560687433,78.13,18.31,91.277,0.7705,0.6423,0.9541,8.032,1.0119,0.931
2012-01-26,1727.0,133790.69,82.51144956864417,9.969115943893964,77.5786100540757,84.44517113581861,1.0650761529449355,0.12868356710848025,1.001401962747847,1.090037061260083,77.47,18.57,90.3962,0.7603,0.6367,0.9389,7.771,0.9986,0.9174
2012-01-27,1726.0,132349.68000000002,81.62657015116032,9.89559808488947,76.57279808268424,83.8766134325093,1.0645092612305727,0.12905057492031127,0.9986019572598361,1.0938525486764383,76.68,18.53,90.2559,0.758,0.6363,0.9394,7.7489,1.0014,0.9142
2012-01-30,1729.0,131888.12,80.77941332203748,9.713485292245002,76.05184446660022,83.11178906079756,1.058985491898761,0.12733987011333248,0.9970089730807579,1.0895619960775769,76.28,19.4,90.4762,0.762,0.6373,0.9443,7.853,1.003,0.9178
2012-01-31,1744.0,133136.96,80.90292496820688,9.74345883854499,75.96019900497514,82.79826464208243,1.05977108944468,0.1276324186343331,0.9950248756218907,1.0845986984815619,76.34,19.44,90.5538,0.7661,0.6348,0.9436,7.835,1.005,0.922
2012-02-01,1740.0,132431.4,81.43590841001497,9.934864049915806,76.23197115384616,83.26222513948146,1.0699764605178685,0.1305329661005887,1.001602564102564,1.0939722131057872,76.11,18.55,90.0963,0.7588,0.631,0.9346,7.6609,0.9984,0.9141
